<<<<<<< HEAD
periods,ball20171113,"{'red': [9, 5, 21, 24, 26, 15], 'blue': [2]}"20171114,"{'red': [18, 31, 5, 9, 16, 33], 'blue': [11]}"20171120,"{'red': [23, 26, 19, 12, 33, 7], 'blue': [14]}"20200828,"{'red': [2, 12, 24, 3, 30, 21], 'blue': [8]}"
20201005,"{'red': [27, 26, 29, 10, 1, 30], 'blue': [16]}"
20201006,"{'red': [8, 15, 27, 13, 4, 12], 'blue': [4]}"
20201007,"{'red': [8, 30, 16, 25, 31, 24], 'blue': [4]}"
20201024,"{'red': [15, 11, 9, 6, 24, 20], 'blue': [4]}"
20201031,"{'red': [29, 27, 18, 21, 11, 1], 'blue': [11]}"
20211227,"{'red': [14, 7, 20, 23, 16, 30], 'blue': [4]}"
20220222,"{'red': [31, 11, 6, 1, 8, 29], 'blue': [16]}"
20220223,"{'red': [8, 28, 13, 27, 19, 30], 'blue': [2]}"
=======
periods,ball20171113,"{'red': [9, 5, 21, 24, 26, 15], 'blue': [2]}"20171114,"{'red': [18, 31, 5, 9, 16, 33], 'blue': [11]}"20171120,"{'red': [23, 26, 19, 12, 33, 7], 'blue': [14]}"
>>>>>>> b01c862ce99a29806808ae156c6d9774bfc2a0b9
